ACCESSION	TargetID	SYMBOL	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION
NM_002636.3	ILMN_27453	PHF1	0.90	-0.15	0.65	-0.63	0.81	-0.30	1.01	0.01	Homo sapiens PHD finger protein 1 (PHF1), transcript variant 1, mRNA.
NM_032865.3	ILMN_27455	TNS4	NaN	NaN	NaN	NaN	1.12	0.16	0.85	-0.24	Homo sapiens tensin 4 (TNS4), mRNA.
NM_014280.1	ILMN_27459	DNAJC8	1.15	0.20	1.01	0.02	1.22	0.29	1.08	0.11	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 8 (DNAJC8), mRNA.
NM_173826.1	ILMN_2746	C3orf23	0.51	-0.98	0.55	-0.85	0.92	-0.13	1.10	0.14	Homo sapiens chromosome 3 open reading frame 23 (C3orf23), transcript variant 1, mRNA.
NM_017840.2	ILMN_27462	MRPL16	0.80	-0.32	0.85	-0.23	0.84	-0.26	0.85	-0.23	Homo sapiens mitochondrial ribosomal protein L16 (MRPL16), nuclear gene encoding mitochondrial protein, mRNA.
NM_144636.1	ILMN_27470	CHCHD4	1.24	0.32	1.23	0.30	1.26	0.34	1.43	0.52	Homo sapiens coiled-coil-helix-coiled-coil-helix domain containing 4 (CHCHD4), mRNA.
NM_015375.1	ILMN_27483	RIPK5	1.14	0.19	0.79	-0.35	1.02	0.02	0.89	-0.17	Homo sapiens receptor interacting protein kinase 5 (RIPK5), transcript variant 1, mRNA.
NM_004687.3	ILMN_27485	MTMR4	0.27	-1.87	0.29	-1.81	1.14	0.20	1.14	0.19	Homo sapiens myotubularin related protein 4 (MTMR4), mRNA.
NM_018032.3	ILMN_27491	LUC7L	1.69	0.76	1.52	0.60	1.10	0.14	1.19	0.25	Homo sapiens LUC7-like (S. cerevisiae) (LUC7L), transcript variant 1, mRNA.
NM_032233.2	ILMN_27496	SETD3	1.00	-0.01	0.81	-0.30	1.24	0.31	1.30	0.38	Homo sapiens SET domain containing 3 (SETD3), transcript variant 1, mRNA.
NM_138798.1	ILMN_27516	LOC129531	1.35	0.43	1.57	0.65	NaN	NaN	NaN	NaN	Homo sapiens hypothetical protein BC018453 (LOC129531), mRNA.
NM_003500.2	ILMN_27517	ACOX2	0.06	-4.04	0.42	-1.26	0.17	-2.54	0.10	-3.28	Homo sapiens acyl-Coenzyme A oxidase 2, branched chain (ACOX2), mRNA.
NM_001024662.1	ILMN_27538	RPL6	1.01	0.02	0.86	-0.21	0.99	-0.01	1.06	0.08	Homo sapiens ribosomal protein L6 (RPL6), transcript variant 1, mRNA.
NM_030759.1	ILMN_27547	NRBF2	0.97	-0.05	0.88	-0.18	0.79	-0.34	0.66	-0.59	Homo sapiens nuclear receptor binding factor 2 (NRBF2), mRNA.
NM_080646.1	ILMN_27549	TBX1	1.50	0.58	1.47	0.55	1.17	0.23	1.03	0.04	Homo sapiens T-box 1 (TBX1), transcript variant A, mRNA.
NM_001326.2	ILMN_27551	CSTF3	0.84	-0.25	0.80	-0.31	0.71	-0.50	0.68	-0.55	Homo sapiens cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa (CSTF3), transcript variant 1, mRNA.
NM_175744.3	ILMN_27553	RHOC	1.33	0.42	1.23	0.30	2.22	1.15	2.80	1.49	Homo sapiens ras homolog gene family, member C (RHOC), mRNA.
NM_003299.1	ILMN_27563	HSP90B1	NaN	NaN	1.08	0.10	NaN	NaN	NaN	NaN	Homo sapiens heat shock protein 90kDa beta (Grp94), member 1 (HSP90B1), mRNA.
NM_001736.2	ILMN_27570	C5AR1	2.36	1.24	2.28	1.19	2.06	1.04	2.95	1.56	Homo sapiens complement component 5a receptor 1 (C5AR1), mRNA.
NM_015868.2	ILMN_27572	KIR2DL3	4.05	2.02	4.31	2.11	NaN	NaN	NaN	NaN	Homo sapiens killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3 (KIR2DL3), transcript variant 2, mRNA.
NM_000903.2	ILMN_27575	NQO1	0.72	-0.48	0.35	-1.52	1.10	0.14	1.06	0.08	Homo sapiens NAD(P)H dehydrogenase, quinone 1 (NQO1), transcript variant 1, mRNA.
NM_021090.2	ILMN_27578	MTMR3	1.60	0.68	1.27	0.35	1.24	0.31	1.22	0.29	Homo sapiens myotubularin related protein 3 (MTMR3), transcript variant 3, mRNA.
NM_000173.3	ILMN_27584	GP1BA	1.59	0.67	1.31	0.39	1.08	0.11	1.20	0.26	Homo sapiens glycoprotein Ib (platelet), alpha polypeptide (GP1BA), mRNA.
NM_002618.2	ILMN_27585	PEX13	0.85	-0.24	0.94	-0.09	0.74	-0.43	0.54	-0.88	Homo sapiens peroxisome biogenesis factor 13 (PEX13), mRNA.
NM_002585.1	ILMN_27588	PBX1	2.33	1.22	1.53	0.62	0.85	-0.23	0.86	-0.22	Homo sapiens pre-B-cell leukemia transcription factor 1 (PBX1), mRNA.
NM_022338.2	ILMN_27595	C11orf24	1.15	0.20	0.95	-0.08	1.22	0.29	1.63	0.70	Homo sapiens chromosome 11 open reading frame 24 (C11orf24), mRNA.
NM_001229.2	ILMN_2760	CASP9	0.72	-0.47	0.94	-0.09	1.17	0.23	1.65	0.73	Homo sapiens caspase 9, apoptosis-related cysteine peptidase (CASP9), transcript variant alpha, mRNA.
NM_006349.2	ILMN_27603	ZNHIT1	0.51	-0.98	0.72	-0.48	0.82	-0.28	0.79	-0.34	Homo sapiens zinc finger, HIT type 1 (ZNHIT1), mRNA.
NM_015379.3	ILMN_27636	BRI3	0.83	-0.28	1.00	0.00	0.94	-0.09	1.05	0.07	Homo sapiens brain protein I3 (BRI3), mRNA.
NM_177987.1	ILMN_27641	TUBB8	0.87	-0.20	0.83	-0.27	1.45	0.54	1.59	0.67	Homo sapiens tubulin, beta 8 (TUBB8), mRNA.
NM_199183.1	ILMN_27646	TESSP5	NaN	NaN	0.87	-0.20	NaN	NaN	NaN	NaN	Homo sapiens testis serine protease 5 (TESSP5), mRNA.
NM_016219.2	ILMN_27649	MAN1B1	0.56	-0.85	0.60	-0.74	0.64	-0.65	0.51	-0.97	Homo sapiens mannosidase, alpha, class 1B, member 1 (MAN1B1), mRNA.
NM_004071.2	ILMN_27652	CLK1	1.65	0.73	1.08	0.11	1.03	0.04	0.99	-0.02	Homo sapiens CDC-like kinase 1 (CLK1), transcript variant 1, mRNA.
NM_004132.2	ILMN_27659	HABP2	0.30	-1.75	0.51	-0.98	0.34	-1.57	0.20	-2.34	Homo sapiens hyaluronan binding protein 2 (HABP2), mRNA.
NM_003827.2	ILMN_27675	NAPA	1.02	0.03	1.17	0.23	NaN	NaN	NaN	NaN	Homo sapiens N-ethylmaleimide-sensitive factor attachment protein, alpha (NAPA), mRNA.
NM_144564.4	ILMN_27676	SLC39A3	0.68	-0.55	NaN	NaN	NaN	NaN	0.58	-0.79	Homo sapiens solute carrier family 39 (zinc transporter), member 3 (SLC39A3), transcript variant 1, mRNA.
NM_004944.2	ILMN_27679	DNASE1L3	0.41	-1.29	0.52	-0.95	0.56	-0.83	0.19	-2.43	Homo sapiens deoxyribonuclease I-like 3 (DNASE1L3), mRNA.
NM_004749.2	ILMN_27685	TBRG4	1.46	0.54	1.44	0.53	NaN	NaN	NaN	NaN	Homo sapiens transforming growth factor beta regulator 4 (TBRG4), transcript variant 1, mRNA.
NM_006595.2	ILMN_27686	API5	0.87	-0.20	0.84	-0.26	0.77	-0.38	0.72	-0.48	Homo sapiens apoptosis inhibitor 5 (API5), mRNA.
NM_004278.2	ILMN_27690	PIGL	NaN	NaN	NaN	NaN	0.77	-0.38	0.79	-0.35	Homo sapiens phosphatidylinositol glycan, class L (PIGL), mRNA.
NM_014290.1	ILMN_27692	TDRD7	2.57	1.36	2.48	1.31	1.28	0.35	1.17	0.23	Homo sapiens tudor domain containing 7 (TDRD7), mRNA.
NM_001640.3	ILMN_27694	APEH	0.59	-0.75	0.68	-0.55	0.83	-0.27	0.83	-0.27	Homo sapiens N-acylaminoacyl-peptide hydrolase (APEH), mRNA.
NM_001015072.1	ILMN_27699	LOC402682	0.27	-1.89	0.51	-0.98	0.37	-1.44	0.45	-1.17	Homo sapiens similar to RIKEN cDNA 2700038N03 (LOC402682), mRNA.
NM_006745.3	ILMN_2770	SC4MOL	1.68	0.75	1.35	0.43	0.73	-0.45	1.50	0.58	Homo sapiens sterol-C4-methyl oxidase-like (SC4MOL), transcript variant 1, mRNA.
NM_144638.1	ILMN_27701	TMEM42	0.36	-1.46	0.43	-1.21	0.73	-0.45	0.64	-0.64	Homo sapiens transmembrane protein 42 (TMEM42), mRNA.
NM_021045.1	ILMN_27704	ZNF248	NaN	NaN	NaN	NaN	NaN	NaN	1.03	0.04	Homo sapiens zinc finger protein 248 (ZNF248), mRNA.
NM_018416.2	ILMN_27729	FOXJ2	0.69	-0.53	0.71	-0.49	0.88	-0.18	1.00	0.00	Homo sapiens forkhead box J2 (FOXJ2), mRNA.
NM_001363.2	ILMN_2775	DKC1	1.63	0.71	1.56	0.64	0.98	-0.02	1.03	0.05	Homo sapiens dyskeratosis congenita 1, dyskerin (DKC1), mRNA.
NM_022751.1	ILMN_27758	FAM59A	0.89	-0.16	0.97	-0.04	0.93	-0.10	1.20	0.26	Homo sapiens family with sequence similarity 59, member A (FAM59A), mRNA.
NM_022750.2	ILMN_27762	PARP12	2.30	1.20	3.52	1.82	2.77	1.47	1.88	0.91	Homo sapiens poly (ADP-ribose) polymerase family, member 12 (PARP12), mRNA.
NM_005595.1	ILMN_27763	NFIA	0.21	-2.25	0.39	-1.35	0.67	-0.57	1.05	0.06	Homo sapiens nuclear factor I/A (NFIA), mRNA.
NM_153702.1	ILMN_27766	ELMOD2	NaN	NaN	NaN	NaN	0.61	-0.70	0.68	-0.55	Homo sapiens ELMO/CED-12 domain containing 2 (ELMOD2), mRNA.
NM_024829.4	ILMN_27776	FLJ22662	2.37	1.24	1.65	0.72	1.03	0.05	1.42	0.50	Homo sapiens hypothetical protein FLJ22662 (FLJ22662), mRNA.
NM_003104.3	ILMN_27787	SORD	NaN	NaN	0.66	-0.61	NaN	NaN	NaN	NaN	Homo sapiens sorbitol dehydrogenase (SORD), mRNA.
NM_005603.2	ILMN_27796	ATP8B1	1.79	0.84	NaN	NaN	1.48	0.57	1.11	0.15	Homo sapiens ATPase, Class I, type 8B, member 1 (ATP8B1), mRNA.
NM_022648.3	ILMN_27797	TNS1	1.22	0.29	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens tensin 1 (TNS1), mRNA.
NM_006802.2	ILMN_27798	SF3A3	1.20	0.26	1.18	0.24	0.91	-0.13	0.88	-0.18	Homo sapiens splicing factor 3a, subunit 3, 60kDa (SF3A3), mRNA.
NM_030789.2	ILMN_2780	HM13	1.75	0.80	1.10	0.14	0.45	-1.16	0.46	-1.11	Homo sapiens histocompatibility (minor) 13 (HM13), transcript variant 1, mRNA.
NM_020137.3	ILMN_27811	GRIPAP1	0.91	-0.14	1.04	0.06	0.77	-0.38	0.72	-0.47	Homo sapiens GRIP1 associated protein 1 (GRIPAP1), transcript variant 1, mRNA.
NM_002726.3	ILMN_27814	PREP	0.68	-0.55	0.70	-0.52	0.86	-0.21	0.90	-0.15	Homo sapiens prolyl endopeptidase (PREP), mRNA.
NM_206808.1	ILMN_27821	CLYBL	0.65	-0.62	1.04	0.05	0.84	-0.26	0.67	-0.57	Homo sapiens citrate lyase beta like (CLYBL), transcript variant 2, mRNA.
NM_005561.2	ILMN_27826	LAMP1	0.77	-0.38	0.81	-0.31	1.19	0.25	1.17	0.23	Homo sapiens lysosomal-associated membrane protein 1 (LAMP1), mRNA.
NM_178564.2	ILMN_27830	NRBP2	NaN	NaN	0.43	-1.22	0.49	-1.03	0.55	-0.86	Homo sapiens nuclear receptor binding protein 2 (NRBP2), mRNA.
NM_020376.2	ILMN_27831	PNPLA2	0.55	-0.87	0.42	-1.24	2.53	1.34	2.22	1.15	Homo sapiens patatin-like phospholipase domain containing 2 (PNPLA2), mRNA.
NM_182627.1	ILMN_27855	WDR53	0.87	-0.20	0.95	-0.07	0.80	-0.32	0.66	-0.61	Homo sapiens WD repeat domain 53 (WDR53), mRNA.
NM_033407.2	ILMN_27871	DOCK7	1.17	0.23	0.69	-0.53	1.03	0.04	0.97	-0.04	Homo sapiens dedicator of cytokinesis 7 (DOCK7), mRNA.
NM_020438.3	ILMN_27873	DOLPP1	0.53	-0.92	0.64	-0.65	0.71	-0.50	0.65	-0.63	Homo sapiens dolichyl pyrophosphate phosphatase 1 (DOLPP1), mRNA.
NM_015303.2	ILMN_27874	KIAA0804	0.70	-0.51	0.66	-0.59	0.94	-0.09	0.94	-0.10	Homo sapiens KIAA0804 (KIAA0804), transcript variant 2, mRNA.
NM_020231.3	ILMN_2788	C3orf9	0.61	-0.71	0.75	-0.41	1.11	0.15	0.89	-0.16	Homo sapiens chromosome 3 open reading frame 9 (C3orf9), mRNA.
NM_001033080.1	ILMN_27883	TAAR2	1.72	0.78	1.36	0.45	1.15	0.20	1.17	0.23	Homo sapiens trace amine associated receptor 2 (TAAR2), transcript variant 1, mRNA.
NM_000558.3	ILMN_2789	HBA1	0.56	-0.83	0.92	-0.12	0.81	-0.31	1.45	0.53	Homo sapiens hemoglobin, alpha 1 (HBA1), mRNA.
NM_194295.1	ILMN_27890	DKFZp434I1020	0.85	-0.24	0.93	-0.10	1.21	0.27	1.30	0.38	Homo sapiens hypothetical protein DKFZp434I1020 (DKFZp434I1020), mRNA.
NM_000773.3	ILMN_27893	CYP2E1	0.57	-0.80	1.06	0.08	0.84	-0.24	0.81	-0.30	Homo sapiens cytochrome P450, family 2, subfamily E, polypeptide 1 (CYP2E1), mRNA.
NM_001375.2	ILMN_27899	DNASE2	0.16	-2.61	0.80	-0.33	2.10	1.07	1.10	0.14	Homo sapiens deoxyribonuclease II, lysosomal (DNASE2), mRNA.
NM_003859.1	ILMN_27900	DPM1	0.75	-0.42	0.79	-0.34	0.54	-0.89	0.63	-0.67	Homo sapiens dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit (DPM1), mRNA.
NM_000545.3	ILMN_27901	TCF1	NaN	NaN	NaN	NaN	1.38	0.46	1.20	0.27	Homo sapiens transcription factor 1, hepatic; LF-B1, hepatic nuclear factor (HNF1), albumin proximal factor (TCF1), mRNA.
NM_003120.1	ILMN_27905	SPI1	1.43	0.52	1.23	0.30	1.15	0.20	1.31	0.39	Homo sapiens spleen focus forming virus (SFFV) proviral integration oncogene spi1 (SPI1), mRNA.
NM_003080.1	ILMN_2791	SMPD2	1.56	0.64	1.27	0.34	1.02	0.03	1.04	0.06	Homo sapiens sphingomyelin phosphodiesterase 2, neutral membrane (neutral sphingomyelinase) (SMPD2), mRNA.
NM_017739.1	ILMN_27913	POMGNT1	1.14	0.19	0.91	-0.14	1.09	0.13	1.19	0.25	Homo sapiens protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase (POMGNT1), mRNA.
NM_018113.1	ILMN_27914	LMBR1L	1.09	0.12	1.21	0.28	1.57	0.65	1.60	0.68	Homo sapiens limb region 1 homolog (mouse)-like (LMBR1L), mRNA.
NM_002829.2	ILMN_2792	PTPN3	0.76	-0.40	0.76	-0.39	0.67	-0.57	0.63	-0.66	Homo sapiens protein tyrosine phosphatase, non-receptor type 3 (PTPN3), mRNA.
NM_001001329.1	ILMN_27924	PRKCSH	1.62	0.70	0.96	-0.06	1.16	0.22	0.98	-0.03	Homo sapiens protein kinase C substrate 80K-H (PRKCSH), transcript variant 2, mRNA.
NM_000354.3	ILMN_2793	SERPINA7	0.28	-1.85	0.54	-0.88	0.19	-2.39	0.18	-2.50	Homo sapiens serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7 (SERPINA7), mRNA.
NM_006875.2	ILMN_27932	PIM2	3.23	1.69	2.46	1.30	NaN	NaN	0.89	-0.17	Homo sapiens pim-2 oncogene (PIM2), mRNA.
NM_001260.1	ILMN_27936	CDK8	1.83	0.87	0.99	-0.01	1.53	0.61	1.41	0.50	Homo sapiens cyclin-dependent kinase 8 (CDK8), mRNA.
NM_024640.3	ILMN_2794	YRDC	1.02	0.03	0.98	-0.02	0.91	-0.14	1.09	0.13	Homo sapiens yrdC domain containing (E. coli) (YRDC), mRNA.
NM_005726.2	ILMN_27946	TSFM	1.32	0.40	1.08	0.12	1.80	0.85	1.64	0.72	Homo sapiens Ts translation elongation factor, mitochondrial (TSFM), mRNA.
NM_004182.2	ILMN_2795	UXT	0.95	-0.08	0.93	-0.11	0.93	-0.11	0.96	-0.06	Homo sapiens ubiquitously-expressed transcript (UXT), transcript variant 2, mRNA.
NM_016628.2	ILMN_27950	WAC	NaN	NaN	1.04	0.05	1.41	0.49	1.42	0.51	Homo sapiens WW domain containing adaptor with coiled-coil (WAC), transcript variant 1, mRNA.
NM_020935.1	ILMN_27952	USP37	1.56	0.64	1.43	0.51	0.91	-0.14	1.07	0.10	Homo sapiens ubiquitin specific peptidase 37 (USP37), mRNA.
NM_018421.2	ILMN_27954	TBC1D2	2.70	1.43	2.22	1.15	1.62	0.69	1.91	0.93	Homo sapiens TBC1 domain family, member 2 (TBC1D2), mRNA.
NM_015989.3	ILMN_27963	CSAD	0.38	-1.39	0.81	-0.31	0.21	-2.24	0.34	-1.54	Homo sapiens cysteine sulfinic acid decarboxylase (CSAD), mRNA.
NM_144666.1	ILMN_27983	DNHD1	0.35	-1.51	1.40	0.48	NaN	NaN	NaN	NaN	Homo sapiens dynein heavy chain domain 1 (DNHD1), mRNA.
NM_014495.2	ILMN_27994	ANGPTL3	0.34	-1.54	0.65	-0.61	0.09	-3.54	0.02	-5.72	Homo sapiens angiopoietin-like 3 (ANGPTL3), mRNA.
NM_005870.3	ILMN_27996	SAP18	0.78	-0.37	0.67	-0.59	0.51	-0.98	0.61	-0.72	Homo sapiens Sin3A-associated protein, 18kDa (SAP18), mRNA.
NM_022051.1	ILMN_27999	EGLN1	1.51	0.59	1.82	0.87	1.52	0.61	1.45	0.53	Homo sapiens egl nine homolog 1 (C. elegans) (EGLN1), mRNA.
NM_025076.2	ILMN_28005	UXS1	1.26	0.33	1.21	0.28	1.03	0.04	0.96	-0.06	Homo sapiens UDP-glucuronate decarboxylase 1 (UXS1), mRNA.
NM_173791.2	ILMN_28006	PDZD8	0.95	-0.08	0.90	-0.15	1.69	0.75	1.79	0.84	Homo sapiens PDZ domain containing 8 (PDZD8), mRNA.
NM_022491.2	ILMN_28008	SUDS3	1.12	0.16	0.84	-0.26	0.81	-0.31	0.87	-0.20	Homo sapiens suppressor of defective silencing 3 homolog (S. cerevisiae) (SUDS3), mRNA.
NM_016621.2	ILMN_28019	PHF21A	1.09	0.12	1.78	0.83	1.21	0.27	0.93	-0.10	Homo sapiens PHD finger protein 21A (PHF21A), mRNA.
NM_030881.2	ILMN_28024	DDX17	1.05	0.07	0.93	-0.10	0.82	-0.29	0.66	-0.60	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 17 (DDX17), transcript variant 2, mRNA.
NM_020998.2	ILMN_28025	MST1	0.54	-0.88	0.58	-0.79	0.41	-1.28	0.37	-1.43	Homo sapiens macrophage stimulating 1 (hepatocyte growth factor-like) (MST1), mRNA.
NM_014547.3	ILMN_28026	TMOD3	1.17	0.23	0.92	-0.12	1.33	0.42	1.35	0.43	Homo sapiens tropomodulin 3 (ubiquitous) (TMOD3), mRNA.
NM_001859.2	ILMN_28027	SLC31A1	1.12	0.16	1.13	0.18	0.70	-0.52	0.69	-0.54	Homo sapiens solute carrier family 31 (copper transporters), member 1 (SLC31A1), mRNA.
NM_002020.1	ILMN_28031	FLT4	1.03	0.05	1.02	0.03	NaN	NaN	NaN	NaN	Homo sapiens fms-related tyrosine kinase 4 (FLT4), transcript variant 2, mRNA.
NM_000825.2	ILMN_28035	GNRH1	1.10	0.13	1.70	0.76	1.13	0.17	1.25	0.32	Homo sapiens gonadotropin-releasing hormone 1 (luteinizing-releasing hormone) (GNRH1), mRNA.
NM_021102.2	ILMN_28039	SPINT2	0.44	-1.20	0.56	-0.83	1.00	0.01	0.62	-0.68	Homo sapiens serine peptidase inhibitor, Kunitz type, 2 (SPINT2), mRNA.
NM_001439.2	ILMN_28046	EXTL2	1.97	0.98	3.91	1.97	NaN	NaN	0.69	-0.54	Homo sapiens exostoses (multiple)-like 2 (EXTL2), transcript variant 1, mRNA.
NM_014727.1	ILMN_28047	MLL4	1.18	0.24	1.41	0.49	0.89	-0.17	0.90	-0.16	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia 4 (MLL4), mRNA.
NM_152705.1	ILMN_28050	MGC9850	1.35	0.43	0.85	-0.23	0.88	-0.18	0.93	-0.10	Homo sapiens hypothetical protein MGC9850 (MGC9850), mRNA.
NM_014639.2	ILMN_28056	KIAA0372	0.49	-1.02	0.51	-0.97	0.80	-0.32	0.83	-0.28	Homo sapiens KIAA0372 (KIAA0372), mRNA.
NM_177452.2	ILMN_28066	TRAPPC6B	0.98	-0.02	0.95	-0.07	0.83	-0.27	0.83	-0.27	Homo sapiens trafficking protein particle complex 6B (TRAPPC6B), mRNA.
NM_022782.2	ILMN_28070	MPHOSPH9	NaN	NaN	0.66	-0.60	1.02	0.04	0.93	-0.10	Homo sapiens M-phase phosphoprotein 9 (MPHOSPH9), mRNA.
NM_024891.1	ILMN_28082	FLJ11783	0.92	-0.11	1.26	0.34	NaN	NaN	NaN	NaN	Homo sapiens hypothetical protein FLJ11783 (FLJ11783), mRNA.
NM_006048.2	ILMN_28085	UBE4B	0.50	-0.99	0.50	-1.01	0.67	-0.58	0.50	-1.01	Homo sapiens ubiquitination factor E4B (UFD2 homolog, yeast) (UBE4B), mRNA.
NM_001005741.1	ILMN_28086	GBA	1.01	0.01	0.95	-0.07	1.18	0.24	1.12	0.17	Homo sapiens glucosidase, beta; acid (includes glucosylceramidase) (GBA), transcript variant 2, mRNA.
NM_003439.1	ILMN_28103	ZKSCAN1	1.02	0.03	1.20	0.26	1.22	0.28	0.98	-0.03	Homo sapiens zinc finger with KRAB and SCAN domains 1 (ZKSCAN1), mRNA.
NM_031452.2	ILMN_28104	FAM103A1	1.49	0.57	1.33	0.42	0.94	-0.08	0.86	-0.21	Homo sapiens family with sequence similarity 103, member A1 (FAM103A1), mRNA.
NM_003903.2	ILMN_28112	CDC16	1.30	0.38	1.43	0.51	1.04	0.06	1.14	0.19	Homo sapiens CDC16 cell division cycle 16 homolog (S. cerevisiae) (CDC16), mRNA.
NM_173474.2	ILMN_28116	NTAN1	4.48	2.16	2.45	1.29	5.68	2.51	6.25	2.64	Homo sapiens N-terminal asparagine amidase (NTAN1), mRNA.
NM_005156.4	ILMN_28121	ROD1	0.98	-0.04	0.88	-0.19	0.94	-0.09	1.12	0.16	Homo sapiens ROD1 regulator of differentiation 1 (S. pombe) (ROD1), mRNA.
NM_145808.1	ILMN_28124	MTPN	0.94	-0.09	0.89	-0.16	0.93	-0.10	1.09	0.12	Homo sapiens myotrophin (MTPN), mRNA.
NM_022107.1	ILMN_28125	GPSM3	1.67	0.74	1.21	0.28	1.16	0.22	1.33	0.41	Homo sapiens G-protein signalling modulator 3 (AGS3-like, C. elegans) (GPSM3), mRNA.
NM_002467.3	ILMN_28130	MYC	1.99	0.99	1.67	0.74	1.08	0.11	1.52	0.61	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA.
NM_004994.2	ILMN_28136	MMP9	22.37	4.48	16.58	4.05	2.76	1.46	7.64	2.93	Homo sapiens matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase) (MMP9), mRNA.
NM_006292.2	ILMN_28137	TSG101	0.89	-0.17	0.81	-0.30	0.90	-0.15	0.86	-0.22	Homo sapiens tumor susceptibility gene 101 (TSG101), mRNA.
NM_022164.1	ILMN_28140	TINAGL1	NaN	NaN	NaN	NaN	1.09	0.12	1.19	0.26	Homo sapiens tubulointerstitial nephritis antigen-like 1 (TINAGL1), mRNA.
NM_002537.1	ILMN_28141	OAZ2	NaN	NaN	NaN	NaN	0.93	-0.11	0.86	-0.22	Homo sapiens ornithine decarboxylase antizyme 2 (OAZ2), mRNA.
NM_005745.6	ILMN_2815	BCAP31	0.72	-0.48	0.83	-0.26	1.05	0.07	1.08	0.11	Homo sapiens B-cell receptor-associated protein 31 (BCAP31), mRNA.
NM_001735.2	ILMN_28154	C5	1.75	0.81	1.89	0.92	0.67	-0.58	0.38	-1.38	Homo sapiens complement component 5 (C5), mRNA.
NM_000380.2	ILMN_28155	XPA	1.52	0.61	1.37	0.45	1.07	0.10	1.04	0.05	Homo sapiens xeroderma pigmentosum, complementation group A (XPA), mRNA.
NM_000411.4	ILMN_2816	HLCS	0.88	-0.18	NaN	NaN	0.48	-1.06	0.52	-0.93	Homo sapiens holocarboxylase synthetase (biotin-(proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)) ligase) (HLCS), mRNA.
NM_001102.2	ILMN_28160	ACTN1	3.02	1.59	2.10	1.07	1.17	0.23	1.27	0.34	Homo sapiens actinin, alpha 1 (ACTN1), mRNA.
NM_004040.2	ILMN_28170	RHOB	1.14	0.19	1.11	0.15	1.61	0.68	2.71	1.44	Homo sapiens ras homolog gene family, member B (RHOB), mRNA.
NM_032520.3	ILMN_28173	GNPTG	0.78	-0.37	0.84	-0.25	0.69	-0.53	0.65	-0.63	Homo sapiens N-acetylglucosamine-1-phosphate transferase, gamma subunit (GNPTG), mRNA.
NM_004279.1	ILMN_28179	PMPCB	0.76	-0.39	0.67	-0.57	1.09	0.12	1.05	0.08	Homo sapiens peptidase (mitochondrial processing) beta (PMPCB), mRNA.
NM_005984.1	ILMN_28181	SLC25A1	0.47	-1.10	0.83	-0.26	1.12	0.16	1.57	0.65	Homo sapiens solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 (SLC25A1), mRNA.
NM_078474.1	ILMN_28191	TM2D3	0.74	-0.44	0.66	-0.59	0.95	-0.08	0.97	-0.04	Homo sapiens TM2 domain containing 3 (TM2D3), transcript variant 1, mRNA.
NM_004789.3	ILMN_28203	LHX2	NaN	NaN	NaN	NaN	0.64	-0.64	0.39	-1.34	Homo sapiens LIM homeobox 2 (LHX2), mRNA.
NM_014925.2	ILMN_28215	R3HDM2	NaN	NaN	1.32	0.41	1.01	0.01	0.80	-0.33	Homo sapiens R3H domain containing 2 (R3HDM2), mRNA.
NM_001007090.1	ILMN_28218	C8orf48	1.61	0.69	1.23	0.30	0.95	-0.08	0.97	-0.05	Homo sapiens chromosome 8 open reading frame 48 (C8orf48), mRNA.
NM_001008219.1	ILMN_28222	AMY1C	1.13	0.17	0.84	-0.26	3.10	1.63	5.18	2.37	Homo sapiens amylase, alpha 1C; salivary (AMY1C), mRNA.
NM_194301.2	ILMN_2823	GARNL1	NaN	NaN	NaN	NaN	0.57	-0.81	0.76	-0.40	Homo sapiens GTPase activating Rap/RanGAP domain-like 1 (GARNL1), transcript variant 2, mRNA.
NM_004328.3	ILMN_28234	BCS1L	0.66	-0.61	0.66	-0.59	0.92	-0.12	1.04	0.06	Homo sapiens BCS1-like (yeast) (BCS1L), mRNA.
NM_018247.2	ILMN_28236	TMEM30A	1.02	0.03	0.78	-0.35	0.96	-0.07	0.97	-0.04	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA.
NM_016604.3	ILMN_28237	JMJD1B	0.99	-0.02	1.00	0.00	1.06	0.08	1.00	0.01	Homo sapiens jumonji domain containing 1B (JMJD1B), mRNA.
