Gene Name	Common	Genbank	Description
108534	LOC440156	AK056135.1	
122800	DSCR3	NM_006052.1	Down syndrome critical region gene 3
160193	NXN	NM_022463.3	nucleoredoxin
147729	GKAP1	NM_025211.2	G kinase anchoring protein 1
221054	CDC14C	NM_033331.1	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
179822	ZDHHC12	NM_032799.4	zinc finger, DHHC domain containing 12
227875	null		
183571	BAHCC1		
233451	null	BC027465.1	
184959	MOCS3	NM_014484.3	molybdenum cofactor synthesis 3
201204	TRAK1	AB028965.1	OGT(O-Glc-NAc transferase)-interacting protein 106 KDa
222821	PHF19	BC022374.1	
194045	B4GALT2	NM_003780.2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2
204379	CCDC52	NM_144718.2	hypothetical protein AY099107
167492	POLI	NM_007195.1	polymerase (DNA directed) iota
460136	null	AK092055.1	
120855	ZNF691	NM_015911.2	hypothetical protein LOC51058
165983	TACC3	NM_006342.1	transforming, acidic coiled-coil containing protein 3
223118	NUP160	BC009822.2	
112531	MICAL-L2	NM_182924.1	MICAL-like 2
222541	C21orf94	NM_145180.2	chromosome 21 open reading frame 94
102077	null		
152076	MMP14	NM_004995.2	matrix metalloproteinase 14 (membrane-inserted)
161075	F9	NM_000133.2	coagulation factor IX (plasma thromboplastic component, Christmas disease, hemophilia B)
234896	FLJ90650	NM_173800.3	laeverin
219964	DOK3	NM_024872.1	Dok-like protein
173584	ARL10	NM_173664.3	ADP-ribosylation factor-like 10A
193906	SHANK2	NM_012309.1	SH3 and multiple ankyrin repeat domains 2
236719	null		
182902	PIP5K1C	NM_012398.1	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma
214609	ZNF354A	NM_005649.2	zinc finger protein 354A
191407	FUT10	NM_032664.3	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)
137630	NDUFB3	NM_002491.1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa
267421	ZNF468	AK023558.1	
167313	ANK3	NM_020987.2	ankyrin 3, node of Ranvier (ankyrin G)
172982	PTGIR	NM_000960.3	prostaglandin I2 (prostacyclin) receptor (IP)
114445	TFF3	L08044.1	trefoil factor 3 (intestinal)
114843	ATP6V0A2	AF112972.1	
119147	LOC441476	BC033939.1	
118177	TAF5L		
133604	CD44	NM_001001392.1	CD44 antigen (homing function and Indian blood group system)
159861	ST14	NM_021978.2	suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)
112443	GP9	NM_000174.1	glycoprotein IX (platelet)
188476	DLEU2	NM_006021.1	deleted in lymphocytic leukemia, 2
128222	KIAA1181	NM_020462.1	KIAA1181 protein
205264	CD3D	NM_000732.2	CD3D antigen, delta polypeptide (TiT3 complex)
138125	OVOS2	BC046190.1	
148609	POLE3	NM_017443.3	polymerase (DNA directed), epsilon 3 (p17 subunit)
226681	null		
100679	SBNO1	NM_018183.2	sno, strawberry notch homolog 1 (Drosophila)
132046	CISH	NM_013324.4	cytokine inducible SH2-containing protein
127007	FCGR2A|FCGR2C	Y00644.1	
138876	ZNF185	NM_007150.1	zinc finger protein 185 (LIM domain)
206559	null	AX970385.1_CDS_1	
123221	CCL19	NM_006274.2	chemokine (C-C motif) ligand 19
103522	KIAA0040	BC032361.1	
202289	BP75	NM_012107.1	
219494	FLT1	NM_002019.2	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)
208157	LOC201651	BC014344.1	
228659	LOC92312	NM_170708.1	lamin A/C
161890	ERN1	NM_001433.1	ER to nucleus signalling 1
228170	C6orf190	AK094863.1	
177676	LOC149478	AK056150.1	
103851	C9orf80	NM_021218.1	chromosome 9 open reading frame 80
221030	KLHDC1	NM_172193.1	kelch domain containing 1
212771	C6orf47	NM_021184.1	chromosome 6 open reading frame 47
204366	SDS	NM_006843.2	serine dehydratase
203079	GATA2	NM_032638.3	GATA binding protein 2
152650	ANKRD13D	NM_207354.1	hypothetical protein LOC338692
200042	SLC30A10	NM_018713.1	zinc transporter 8
188138	KIAA1193	NM_017550.1	KIAA1193
176436	CD5L	NM_005894.1	CD5 antigen-like (scavenger receptor cysteine rich family)
234584	null		
179147	HIST1H2AM	NM_003514.2	histone 1, H2am
543040	C9orf86	NM_024718.2	chromosome 9 open reading frame 86
212387	NR1I2	NM_033013.1	nuclear receptor subfamily 1, group I, member 2
176329	FLJ38991	NM_173827.1	hypothetical protein FLJ38991
151108	ASNS	NM_001673.2	asparagine synthetase
178372	FLJ44216	NM_198567.1	FLJ44216 protein
175211	ATP5J	NM_001685.3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6
135418	null		
146407	MGC12760	AB007914.2	
229114	B4GALNT1	BC015493.1	
202137	FHL2	NM_201557.1	four and a half LIM domains 2
201951	EVI1	BX640908.1	ecotropic viral integration site 1
142580	CEP135	NM_014645.1	
708958	NFE2L3	NM_004289.5	nuclear factor (erythroid-derived 2)-like 3
146573	ARL4P		
221000	C16orf46	NM_152337.1	hypothetical protein FLJ32702
144229	GPR35	NM_005301.2	G protein-coupled receptor 35
217204	null	AX746539.1	
214820	C14orf130	NM_175748.1	chromosome 14 open reading frame 130
217852	LOC151194	NM_145280.3	similar to hepatocellular carcinoma-associated antigen HCA557b
197724	TMEM12	NM_152311.1	hypothetical protein MGC32871
146556	KIAA1862	BC033229.1	
231866	null		
172176	DUSP4	NM_057158.2	dual specificity phosphatase 4
215202	null		
111056	TNP2	NM_005425.4	transition protein 2 (during histone to protamine replacement)
112803	ZNF25	NM_145011.2	zinc finger protein 25 (KOX 19)
105095	FLJ10996	NM_019044.2	hypothetical protein FLJ10996
107836	null	AX972903.1_CDS_1	
171126	SCAMP4	NM_079834.1	hypothetical protein BC011824;secretory carrier membrane protein 4
154089	MUC13	NM_033049.1	mucin 13, epithelial transmembrane
234901	CLASP2	AK091451.1	
190449	PFN3		
227404	NRG1	NM_013957.1	neuregulin 1
105417	C14orf93	NM_021944.1	chromosome 14 open reading frame 93
119812	PLEK	NM_002664.1	pleckstrin
165861	null		
136607	LOC440871	AB064071.1	
190825	CD3EAP	NM_012099.1	CD3-epsilon-associated protein; antisense to ERCC-1
196539	PRIM2A	NM_000947.2	primase, polypeptide 2A, 58kDa
186158	VTI1A	NM_145206.1	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)
225970	PPT2	NM_030652.1	palmitoyl-protein thioesterase 2;EGF-like-domain, multiple 8
193656	C7orf21	NM_031434.2	chromosome 7 open reading frame 21
165654	ZNF611	NM_030972.2	zinc finger protein 611
264288	MERTK	AK026802.1	
159758	LOC441167	BC042098.1	
143461	SLC39A3	NM_144564.4	solute carrier family 39 (zinc transporter), member 3
185847	KIAA1727	AK092402.1	
162244	COMMD5	NM_014066.2	COMM domain containing 5
226740	RBM12	NM_003915.2	copine I;RNA binding motif protein 12
110971	SLAMF8	NM_020125.1	SLAM family member 8
137326	SRGAP2	AB007925.1	
142316	HSD11B1	NM_181755.1	hydroxysteroid (11-beta) dehydrogenase 1
102229	TCFL5	NM_006602.2	transcription factor-like 5 (basic helix-loop-helix)
208963	C14orf45	NM_025057.1	chromosome 14 open reading frame 45
103306	COMP	NM_000095.2	cartilage oligomeric matrix protein
690991	null		
107406	KNTC2	NM_006101.1	kinetochore associated 2
198262	ICA1	NM_004968.1	islet cell autoantigen 1, 69kDa
105822	SWAP70	NM_015055.1	SWAP-70 protein
167121	ASCC3	NM_006828.1	helicase, ATP binding 1;dJ467N11.1  protein
703077	null		
122333	FLJ21901	NM_024622.2	hypothetical protein FLJ21901
202003	VPS37C	NM_017966.3	
202785	APBB1IP	NM_019043.2	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein
183146	CHRM4	NM_000741.1	cholinergic receptor, muscarinic 4
148356	SH3MD2	NM_020870.1	SH3 multiple domains 2
151864	TDP1	NM_018319.2	tyrosyl-DNA phosphodiesterase 1
170126	VAMP4	AF044310.1	
177981	GIMAP5	NM_018384.2	immune associated nucleotide 4 like 1 (mouse)
114703	KIAA1205	AB033031.1	
184897	SFXN2	NM_178858.3	sideroflexin 2
123595	FCN1	NM_002003.2	ficolin (collagen/fibrinogen domain containing) 1
228929	null		
213755	C18orf18	NM_152471.1	
185882	null		
133219	RAD51L1	NM_133510.2	RAD51-like 1 (S. cerevisiae)
219592	PTPNS1	NM_080792.1	protein tyrosine phosphatase, non-receptor type substrate 1
230800	null	BC022830.1	
119729	AQP1	NM_000385.3	aquaporin 1 (channel-forming integral protein, 28kDa)
126413	MPP5	NM_022474.2	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)
226440	MICA	NM_000247.1	MHC class I polypeptide-related sequence A
146115	LNPEP	NM_005575.1	hypothetical protein FLJ39485;leucyl/cystinyl aminopeptidase
209883	L2HGDH	NM_024884.1	chromosome 14 open reading frame 160
184301	KDELC2	NM_153705.2	hypothetical protein MGC33424
185745	ZNF206	NM_032805.1	zinc finger protein 206
158974	ZNF282	NM_003575.1	zinc finger protein 282
710416	null		
194299	C9orf88	BC018849.2	
565070	LOC441503		
186998	FRMD6	NM_152330.2	chromosome 14 open reading frame 31
227174	FBLIM1	NM_017556.1	filamin-binding LIM protein-1
211010	OIP5	NM_007280.1	Opa-interacting protein 5
132237	RHPN2	NM_033103.3	rhophilin, Rho GTPase binding protein 2
143895	CCNF	NM_001761.1	cyclin F
116331	EPIM	NM_194356.1	epimorphin
182288	null		
159953	KIAA1285	NM_015694.1	KIAA1285 protein
227322	WDR35	NM_020779.2	WD repeat domain 35
168914	HSMPP8	NM_017520.2	M-phase phosphoprotein, mpp8
120949	null		
234536	AP4S1	NM_007077.2	adaptor-related protein complex 4, sigma 1 subunit
212742	SPINT2	NM_021102.1	serine protease inhibitor, Kunitz type, 2
224778	SENP1	NM_014554.2	SUMO1/sentrin specific protease 1
211331	CD4	NM_000616.2	CD4 antigen (p55)
182449	HSPA5BP1	NM_178031.1	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) binding protein 1
181636	STK17A	NM_004760.1	serine/threonine kinase 17a (apoptosis-inducing)
184548	ITGB4	NM_000213.2	integrin, beta 4
170538	CRISPLD2	NM_031476.1	hypothetical protein DKFZp434B044
100812	FXYD1	NM_021902.2	FXYD domain containing ion transport regulator 1 (phospholemman);FXYD domain containing ion transport regulator 7
175158	C20orf94	AL035456.26_CDS_2	
183976	EME1	NM_152463.1	essential meiotic endonuclease 1 homolog 1 (S. pombe)
701493	null		
145559	ERCC8	NM_000082.1	Cockayne syndrome 1 (classical)
101584	MRAS	AF043938.1	muscle RAS oncogene homolog
232355	KIAA1856	BC068099.1	
112941	ENG	NM_000118.1	endoglin (Osler-Rendu-Weber syndrome 1)
133013	CHST4	NM_005769.1	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4
101845	THAP10	NM_020147.2	THAP domain containing 10
398528	null		
155257	TRIM46	NM_025058.3	tripartite motif-containing 46
204148	ZNF482	NM_006626.3	zinc finger protein 482
130598	C20orf161	NM_033421.2	chromosome 20 open reading frame 161
173690	MGC33839	NM_152353.1	hypothetical protein MGC33839
192626	null		
205642	TRAF3IP1	NM_015650.2	TNF receptor-associated factor 3 interacting protein 1
168270	MGC12966	NM_032706.1	hypothetical protein MGC12966
197543	ZNF101	NM_033204.2	zinc finger protein 101
132053	RNF121	NM_018320.3	ring finger protein 121
196790	null		
196117	null		
234266	IBRDC2	NM_182757.1	IBR domain containing 2
124596	RP1-93H18.5		
210661	ZNF607	BC014850.1	zinc finger protein 607
159207	PHF20L1	NM_016018.3	CGI-72 protein
121835	MGC16824	NM_020314.3	esophageal cancer associated protein
235154	GPR155	NM_152529.3	G protein-coupled receptor 155
194654	TRIM23	NM_001656.3	tripartite motif-containing 23
137981	RPS6KA1	NM_002953.2	ribosomal protein S6 kinase, 90kDa, polypeptide 1
164721	RPS6KB2	NM_003952.1	ribosomal protein S6 kinase, 70kDa, polypeptide 2
207416	CDCA7	NM_145810.1	cell division cycle associated 7
232908	C20orf112	NM_198272.1	
176257	null	AK026219.1	
109609	THTPA	NM_024328.1	
216657	C17orf53	NM_024032.2	hypothetical protein MGC3130
160911	EPS8L1	NM_139204.1	EPS8-like 1
142391	null		
185802	COCH	NM_004086.1	coagulation factor C homolog, cochlin (Limulus polyphemus)
107320	null		
137638	FLJ27352	BX648577.1	
230887	null		
217004	EPM2A	NM_005670.2	epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)
138352	RCC2	NM_018715.1	RCC1-like
196309	ACPL2	NM_152282.2	hypothetical protein FLJ23751
219633	C2orf3	NM_003203.3	chromosome 2 open reading frame 3
179041	ZNF306	NM_024493.1	zinc finger protein 306
115141	COG7	NM_153603.1	component of oligomeric golgi complex 7
194434	hCAP-H2	NM_014551.3	hypothetical protein 384D8_6
202937	IFIT3	NM_001549.2	interferon-induced protein with tetratricopeptide repeats 4
220002	KIAA1984	NM_024718.2	chromosome 9 open reading frame 86
116039	CDC40	NM_015891.2	cell division cycle 40 homolog (yeast)
145078	STARD8	NM_014725.2	START domain containing 8
167451	LOC285141	AX972293.1_CDS_1	
141019	LBX1	NM_006562.3	transcription factor similar to D. melanogaster homeodomain protein lady bird late
161892	COX6A2	NM_005205.2	cytochrome c oxidase subunit VIa polypeptide 2
233641	AFF3	NM_002285.1	lymphoid nuclear protein related to AF4
144329	SLD5	NM_032336.1	hypothetical protein MGC14799
199168	KCNQ1DN	NM_018722.1	KCNQ1 downstream neighbor
160510	TCN2	NM_000355.2	transcobalamin II; macrocytic anemia
159636	ZNF211	NM_006385.2	zinc finger protein 211
175418	RP11-19J3.3	BC071726.1	
161432	FAM63B	AK022891.1	hypothetical protein KIAA1164
107806	UGT1A3	NM_205862.1	UDP glycosyltransferase 1 family, polypeptide A10;UDP glycosyltransferase 1 family, polypeptide A3;UDP glycosyltransferase 1 family, polypeptide A1;UDP glycosyltransferase 1 family, polypeptide A4;UDP glycosyltransferase 1 family, polypeptide A9;UDP glycosyltransferase 1 family, polypeptide A5;UDP glycosyltransferase 1 family, polypeptide A6;UDP glycosyltransferase 1 family, polypeptide A7;UDP glycosyltransferase 1 family, polypeptide A8
145483	PTGER1	NM_000955.2	prostaglandin E receptor 1 (subtype EP1), 42kDa
107637	LOC401393|LOC402571	BC022382.1	
123142	null		
112793	OTX1	NM_014562.2	orthodenticle homolog 1 (Drosophila)
130435	DYRK2	NM_006482.1	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
203610	ABP1	NM_001091.1	amiloride binding protein 1 (amine oxidase (copper-containing))
223108	NRG1	NM_013962.1	neuregulin 1
101333	ZNF435	NM_025231.1	zinc finger protein 435
142257	IL2RG	NM_000206.1	interleukin 2 receptor, gamma (severe combined immunodeficiency)
234389	null		
148791	TOB2	NM_016272.2	transducer of ERBB2, 2
166387	CDCA2	BC063651.1	
151156	CHFR	NM_018223.1	checkpoint with forkhead and ring finger domains
234785	PLEKHH1	AK124787.1	
201193	EPPB9	NM_015681.2	B9 protein
125454	FOXJ2	NM_018416.2	forkhead box J2
165668	NPL	BC058003.1	
184730	BACE2	NM_138992.1	beta-site APP-cleaving enzyme 2
167237	FAM19A5	NM_015381.1	TAFA protein 5
204115	ATP11A	AL161996.1	
215376	PTPRB	NM_002837.2	protein tyrosine phosphatase, receptor type, B
180070	CDCA3	NM_031299.3	cell division cycle associated 3
154357	ZNF133	NM_003434.3	zinc finger protein 133 (clone pHZ-13)
167227	null		
167316	MATN2	NM_002380.2	matrilin 2
191430	VCPIP1	NM_025054.3	valosin-containing protein (p97)/p47 complex-interacting protein p135
110609	CYBB	NM_000397.2	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
231716	BRUNOL5	NM_021938.2	bruno-like 5, RNA binding protein (Drosophila)
137096	FLJ12975	NM_024809.2	hypothetical protein FLJ12975
170533	NBR2	NM_005821.2	neighbor of BRCA1 gene 2
100825	C15orf17	NM_020447.2	chromosome 15 open reading frame 17
196404	MMP23B|MMP23A	NM_006983.1	matrix metalloproteinase 23A;matrix metalloproteinase 23B
235001	null		
159956	C1orf59	NM_144584.1	hypothetical protein FLJ30525
199535	ELK1	NM_005229.2	ELK1, member of ETS oncogene family
195754	ZNF606	NM_025027.2	zinc finger protein 606
133222	KIAA1505	BC029458.1	
164685	DDX51	NM_175066.2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
149065	FLJ10661		
165286	TEAD4	NM_201441.1	TEA domain family member 4
214492	USP32	NM_032582.3	TL132 protein;ubiquitin specific protease 32
186911	DIO3OS	BC037351.1	
509730	null		
713353	MTRF1L	NM_019041.2	mitochondrial translational release factor 1-like
193349	SENP5	NM_152699.2	SUMO1/sentrin specific protease 5
230177	null		
100659	SYT17	NM_016524.2	B/K protein
180327	LOC285331	BC047509.1	
180485	LIN28B	AK131411.1	
119355	null		
148572	PRIMA1	NM_178004.1	proline rich membrane anchor 1
105004	KCTD12	NM_138444.2	potassium channel tetramerisation domain containing 12
139178	KIAA0753	NM_014804.1	
165632	PPARD	NM_006238.2	peroxisome proliferative activated receptor, delta
107824	BOLL	NM_197970.1	bol, boule-like (Drosophila)
134595	MASTL	BC009107.1	microtubule associated serine/threonine kinase-like
120407	null		
208320	POLR2G	NM_002696.1	polymerase (RNA) II (DNA directed) polypeptide G
119847	KLHL13	NM_033495.2	kelch-like 13 (Drosophila)
195131	RASA2	NM_006506.2	RAS p21 protein activator 2
177710	GCGR	NM_000160.1	glucagon receptor
199673	ZNF642	NM_198494.1	FLJ16030 protein
207471	CACNA1H	NM_021098.1	calcium channel, voltage-dependent, alpha 1H subunit
116907	ZNF236	NM_007345.1	zinc finger protein 236
104460	SSX2		
207524	CSPG2	NM_004385.2	chondroitin sulfate proteoglycan 2 (versican)
167606	XPO4	NM_022459.3	exportin 4
143413	FAM54A	NM_138419.2	DUF729 domain containing 1
528824	null	BC042538.1	
158894	RRAGB	NM_016656.2	Ras-related GTP binding B
113888	KRT19	NM_002276.3	keratin 19
115907	ELF1	NM_172373.2	E74-like factor 1 (ets domain transcription factor)
160646	TP53I11	BC071606.1	tumor protein p53 inducible protein 11
125922	LOC440508	AK123140.1	
105080	STX6	BC009944.2	
101200	C14orf125	BC062720.1	
110173	null		
124954	CCNK	NM_003858.2	cyclin K
208701	FLJ43654	NM_198562.1	FLJ43654 protein
203606	TRIM15	NM_033229.1	tripartite motif-containing 15
132797	C1orf34	BC004399.1	
166196	LOC441027		
164951	CXorf40B	NM_178124.3	hypothetical protein LOC91966
186127	KU-MEL-3		
107398	DOCK10	NM_017718.1	
107546	KDELR3	NM_006855.2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
112729	IGKC|IGKV1-5	NM_144717.2	hypothetical protein MGC34923
223165	PURB	NM_033224.3	purine-rich element binding protein B
155417	DENND2A	BC049193.1	
118811	MGC27165		
123490	PRR11	NM_018304.1	hypothetical protein FLJ11029
166248	AR	NM_000044.2	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
165263	null	AE000658.1_CDS_5	
172008	C1orf83	NM_153035.1	hypothetical protein FLJ32112
102348	C2orf34	NM_024766.1	hypothetical protein FLJ23451
112373	NUP214	NM_153642.1	nucleoporin 214kDa
142372	IGHG1	NM_198522.1	
124152	null		
219367	INCA		
114014	CHST11	NM_018413.2	carbohydrate (chondroitin 4) sulfotransferase 11
115134	ARID1B	NM_020732.2	AT rich interactive domain 1B (SWI1-like)
116932	FLJ21816	NM_024675.2	hypothetical protein FLJ21816
182141	SLC7A8	NM_012244.2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
125805	SEMA7A	NM_003612.1	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A
230947	LOC339539	BC043541.1	
216903	C8orf20	NM_025232.2	chromosome 8 open reading frame 20
123808	C1QL1	NM_006688.3	complement component 1, q subcomponent-like 1
177201	COQ3	BC063463.1	coenzyme Q3 homolog, methyltransferase (yeast)
699067	null	BC042024.1	
143290	TMEM54	NM_033504.2	beta-casein-like protein
112586	LGALS2	NM_006498.1	lectin, galactoside-binding, soluble, 2 (galectin 2)
141522	LOC51252	NM_016490.3	hypothetical protein LOC51252
208060	PLAUR	NM_002659.1	plasminogen activator, urokinase receptor
207509	LGALS4	NM_006149.2	lectin, galactoside-binding, soluble, 4 (galectin 4)
191090	C3orf40	NM_144635.3	hypothetical protein MGC21688
158085	ADAMTSL3	AL109724.1	ADAMTS-like 3
113556	FLJ23577	NM_024867.2	KPL2 protein
133392	LOC441909		
178219	FAM105A	NM_019018.1	hypothetical protein FLJ11127
203537	null	M90815.1_CDS_1	
200710	ROBO3	NM_022370.2	roundabout, axon guidance receptor, homolog 3 (Drosophila)
181353	WDR20	NM_181302.1	WD repeat domain 20
227950	null	NM_001605.1	alanyl-tRNA synthetase
142256	CXorf6	NM_005491.1	chromosome X open reading frame 6
151530	FCMD	NM_006731.1	Fukuyama type congenital muscular dystrophy (fukutin)
143012	MEF2B	NM_005919.1	MADS box transcription enhancer factor 2, polypeptide B (myocyte enhancer factor 2B)
215796	SGOL2	NM_152524.1	shugoshin-like 2 (S. pombe)
154909	AGPAT7	NM_153613.1	PlSC domain containing hypothetical protein
178198	null		
175078	LOC201651	BC014344.1	
140559	HBE1	NM_005330.3	hemoglobin, epsilon 1
116382	null	BC004962.1	
122309	PRODH	NM_016335.2	proline dehydrogenase (oxidase) 1
215658	null		
549664	FLJ25530	NM_152722.3	hypothetical protein FLJ25530
205575	DGCR8	NM_022720.4	DiGeorge syndrome critical region gene 8
116787	TMED6	NM_144676.1	hypothetical protein MGC23911
118830	KIF20A	NM_005733.1	kinesin family member 20A
114896	PNCK	NM_198452.1	Similar to calcium/calmodulin-dependent protein kinase 1, beta
121618	KCNMB4	NM_014505.4	potassium large conductance calcium-activated channel, subfamily M, beta member 4
161404	ASF1B	NM_018154.1	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)
222737	null		
154789	TUBGCP6	NM_020461.2	tubulin, gamma complex associated protein 6
172866	tAKR	AB037903.1	
102302	FLJ43855	NM_005629.1	similar to sodium- and chloride-dependent creatine transporter;solute carrier family 6 (neurotransmitter transporter, creatine), member 8
195004	DLEU2	NM_006021.1	deleted in lymphocytic leukemia, 2
155319	FASTK	NM_033015.2	FAST kinase
102944	HOMER2	BC043192.1	
161798	GPSM2	NM_013296.3	G-protein signalling modulator 2 (AGS3-like, C. elegans)
121332	FCHSD1	NM_173828.3	chromosome 5 open reading frame 16
162356	C1orf76	BC009382.2	
136897	SNIP1	NM_024700.2	Smad nuclear interacting protein
178600	DNAJC14	NM_032364.4	cytokine induced protein 29 kDa;DnaJ (Hsp40) homolog, subfamily C, member 14
229985	null	BC040057.1	
223910	HOXA10	NM_018951.2	homeo box A10
126222	FLJ32942	AK057504.1	hypothetical protein FLJ32942
165736	null	BC070336.1	
130047	ZNF394	NM_032164.2	zinc finger protein 394
119870	STXBP2	NM_006949.1	syntaxin binding protein 2
102174	CSAD	NM_015989.3	cysteine sulfinic acid decarboxylase
545168	FLJ44968	NM_198537.1	FLJ44968 protein
216482	null		
154392	null		
166145	FLJ12442	NM_022908.1	hypothetical protein FLJ12442
177780	HSD17B13	NM_178135.2	short-chain dehydrogenase/reductase 9
201440	null		
165842	GPAA1	NM_003801.2	GPAA1P anchor attachment protein 1 homolog (yeast)
221242	DEDD2	NM_133328.2	death effector domain containing 2
216724	TDRD3	NM_030794.1	tudor domain containing 3
155893	ABCB9	NM_019625.2	ATP-binding cassette, sub-family B (MDR/TAP), member 9
230119	SYPL2	NM_198280.1	
147912	DSCR1L2	NM_013441.2	Down syndrome critical region gene 1-like 2
173482	SALL2	NM_005407.1	sal-like 2 (Drosophila)
130465	CDC6	NM_001254.2	CDC6 cell division cycle 6 homolog (S. cerevisiae)
200834	IL7R	NM_002185.2	interleukin 7 receptor
106564	HIG2	NM_013332.1	hypoxia-inducible protein 2
182081	CYP26B1	NM_019885.2	cytochrome P450, family 26, subfamily B, polypeptide 1
234406	AP3M2	NM_006803.2	adaptor-related protein complex 3, mu 2 subunit
198492	IHH	BC034757.1	
209010	ESPL1	NM_012291.3	extra spindle poles like 1 (S. cerevisiae)
212202	MAN1B1	NM_007230.1	mannosidase, alpha, class 1B, member 1
176986	LOC401951		
545447	null	AK096225.1	
152831	OXCT2	NM_022120.1	3-oxoacid CoA transferase 2
121673	KIF14	D26361.1	
216954	SLC24A1	NM_004727.1	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1
195337	PIP5K2A	NM_005028.3	phosphatidylinositol-4-phosphate 5-kinase, type II, alpha
703335	CELSR1		
118834	TTLL5	NM_015072.2	MGC16028 similar to RIKEN cDNA 1700019E19 gene
151065	CYP2B7P1	NM_000767.4	cytochrome P450, family 2, subfamily B, polypeptide 6
187661	BTBD10	NM_032320.4	K+ channel tetramerization protein
105728	HMGA2	NM_003483.3	high mobility group AT-hook 2
155110	MGC9712	NM_152689.2	hypothetical protein MGC9712
129456	TRIM22	NM_006074.2	tripartite motif-containing 22
127523	CDKN2A	NM_058196.1	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)
197404	CCK	NM_000729.2	cholecystokinin
134263	LOC441241		
163657	SYNGAP1	AL713634.1	
136405	null		
233637	LOC286071	AK091759.1	
164845	PCDH1	NM_002587.3	protocadherin 1 (cadherin-like 1)
103928	MGC45871	NM_182705.1	hypothetical protein MGC45871
168829	KIAA1958	AB075838.1	
196557	COLEC10	NM_006438.2	collectin sub-family member 10 (C-type lectin)
150353	IGFBP6	NM_002178.1	insulin-like growth factor binding protein 6
234159	null		
218792	PSRC2	NM_144982.3	hypothetical protein MGC23401
108225	ENPP3	AF005632.2	ectonucleotide pyrophosphatase/phosphodiesterase 3
192734	L3MBTL3	AK092756.1	
203486	null	BC036412.1	
229502	null		
580271	C9orf106	AX747616.1	
118424	MGC33302	NM_152778.1	hypothetical protein MGC33302
231555	null		
542151	LOC144347	NM_181709.2	hypothetical protein LOC144347
211614	ATP8B2	NM_020452.1	ATPase, Class I, type 8B, member 2
146981	TTBK2	NM_173500.2	tau tubulin kinase 2
108579	SEMA3G	NM_020163.1	semaphorin sem2
153800	TRIM14	NM_033221.1	tripartite motif-containing 14
214599	SLC25A24	NM_013386.2	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24
143464	ATP9A	AB014511.1	
137656	MKI67	NM_002417.2	antigen identified by monoclonal antibody Ki-67
174838	LOC401358|LOC402523		
175483	LOC342892		
115385	D21S2056E	NM_003683.4	DNA segment on chromosome 21 (unique) 2056 expressed sequence
101680	FKBP1A	NM_054014.1	FK506 binding protein 1A, 12kDa
202641	LOC400604	AK123714.1	
110353	TIE1	NM_005424.2	tyrosine kinase with immunoglobulin and epidermal growth factor homology domains
213765	null		
165944	PPP5C	NM_006247.2	protein phosphatase 5, catalytic subunit
202031	EAF1	NM_033083.5	ELL associated factor 1
193629	AHI1	NM_017651.3	Abelson helper integration site
181752	CHRNB1	NM_000747.2	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)
170165	GUCY1A3	NM_000856.1	guanylate cyclase 1, soluble, alpha 3
225999	C3orf29	NM_022485.2	hypothetical protein FLJ22405
176952	WDR18	NM_024100.2	WD repeat domain 18
192990	LOC147645	BC016993.1	
212904	PLAGL1	NM_002656.2	pleiomorphic adenoma gene-like 1
710564	null		
213822	NXT2	NM_018698.3	nuclear transport factor 2-like export factor 2
220062	PARP14|LOC440974	AK022542.1	
133014	SCARA3	NM_016240.2	scavenger receptor class A, member 3
158259	CRB3	NM_139161.2	crumbs homolog 3 (Drosophila)
222128	PELI1	NM_020651.2	pellino homolog 1 (Drosophila)
229144	null		
183184	TA-PP2C	NM_139283.1	T-cell activation protein phosphatase 2C
